FID,longitude,latitude,cell_num,cell_area,gpcp_cid,CID,BASIN,AREA,ntsctarea,area_frc
64,83.250000000000000,29.750000000000000,40149,2680.682128909999800,21684.000000000000000,492836,34,772.927596758000050,303.266730672999980,0.392361111112000
65,83.250000000000000,29.750000000000000,40149,2680.682128909999800,21684.000000000000000,494085,21,771.041306716000010,26.772267594199999,0.034722222222100
66,83.250000000000000,29.750000000000000,40149,2680.682128909999800,21684.000000000000000,494086,34,771.041306716000010,771.041306716000010,1.000000000000000
67,83.250000000000000,29.750000000000000,40149,2680.682128909999800,21684.000000000000000,494087,34,771.041306716000010,538.122578645999970,0.697916666667000
68,83.750000000000000,29.750000000000000,40150,2680.682128909999800,21684.000000000000000,492836,34,772.927596758000050,466.977089707999990,0.604166666667000
69,83.750000000000000,29.750000000000000,40150,2680.682128909999800,21684.000000000000000,494087,34,771.041306716000010,232.918728069999990,0.302083333333000
70,83.750000000000000,29.750000000000000,40150,2680.682128909999800,21684.000000000000000,494088,34,771.041306716000010,771.041306716000010,1.000000000000000
71,85.250000000000000,29.750000000000000,40153,2680.682128909999800,21686.000000000000000,492842,34,772.927596758000050,772.927596758000050,1.000000000000000
72,85.250000000000000,29.750000000000000,40153,2680.682128909999800,21686.000000000000000,494094,34,771.041306716000010,492.609723734999990,0.638888888889000
73,85.750000000000000,29.750000000000000,40154,2680.682128909999800,21686.000000000000000,492845,34,772.927596758000050,69.778185818200001,0.090277777777500
74,85.750000000000000,29.750000000000000,40154,2680.682128909999800,21686.000000000000000,494094,34,771.041306716000010,278.431582981000020,0.361111111111000
75,85.750000000000000,29.750000000000000,40154,2680.682128909999800,21686.000000000000000,494096,34,771.041306716000010,286.463263258999970,0.371527777778000
76,86.250000000000000,29.750000000000000,40155,2680.682128909999800,21687.000000000000000,492845,34,772.927596758000050,703.149410940000050,0.909722222223000
77,86.250000000000000,29.750000000000000,40155,2680.682128909999800,21687.000000000000000,492846,34,772.927596758000050,638.738777876999960,0.826388888890000
78,86.250000000000000,29.750000000000000,40155,2680.682128909999800,21687.000000000000000,494096,34,771.041306716000010,484.578043456999980,0.628472222222000
79,86.750000000000000,29.750000000000000,40156,2680.682128909999800,21687.000000000000000,492846,34,772.927596758000050,131.505042503999990,0.170138888889000
80,86.750000000000000,29.750000000000000,40156,2680.682128909999800,21687.000000000000000,492847,34,772.927596758000050,770.243820380999980,0.996527777779000
81,87.250000000000000,29.750000000000000,40157,2680.682128909999800,21688.000000000000000,492849,34,772.927596758000050,772.927596758000050,1.000000000000000
82,87.250000000000000,29.750000000000000,40157,2680.682128909999800,21688.000000000000000,492850,34,772.927596758000050,236.172321232000000,0.305555555556000
83,87.250000000000000,29.750000000000000,40157,2680.682128909999800,21688.000000000000000,494100,34,771.041306715000020,771.041306716000010,1.000000000000000
84,87.250000000000000,29.750000000000000,40157,2680.682128909999800,21688.000000000000000,494101,34,771.041306716000010,444.419642065999990,0.576388888890000
85,87.750000000000000,29.750000000000000,40158,2680.682128909999800,21688.000000000000000,492850,34,772.927596758000050,534.071499149000030,0.690972222223000
86,87.750000000000000,29.750000000000000,40158,2680.682128909999800,21688.000000000000000,492851,34,772.927596759000040,770.243820380999980,0.996527777777000
87,87.750000000000000,29.750000000000000,40158,2680.682128909999800,21688.000000000000000,492852,34,772.927596759000040,34.889092909200002,0.045138888888800
88,87.750000000000000,29.750000000000000,40158,2680.682128909999800,21688.000000000000000,494101,34,771.041306716000010,326.621664650000010,0.423611111110000
89,87.750000000000000,29.750000000000000,40158,2680.682128909999800,21688.000000000000000,494102,34,771.041306716000010,771.041306716000010,1.000000000000000
90,87.750000000000000,29.750000000000000,40158,2680.682128909999800,21688.000000000000000,494103,34,771.041306715000020,240.950408349000010,0.312500000001000
91,88.250000000000000,29.750000000000000,40159,2680.682128909999800,21689.000000000000000,492852,34,772.927596759000040,738.038503848999990,0.954861111110000
92,88.250000000000000,29.750000000000000,40159,2680.682128909999800,21689.000000000000000,492853,34,772.927596758000050,603.849684967000030,0.781250000000000
93,88.250000000000000,29.750000000000000,40159,2680.682128909999800,21689.000000000000000,494103,34,771.041306715000020,530.090898367000020,0.687500000001000
94,88.250000000000000,29.750000000000000,40159,2680.682128909999800,21689.000000000000000,494104,34,771.041306716000010,771.041306716000010,1.000000000000000
95,88.250000000000000,29.750000000000000,40159,2680.682128909999800,21689.000000000000000,494105,34,771.041306715000020,34.803947872700000,0.045138888889100
96,88.750000000000000,29.750000000000000,40160,2680.682128909999800,21689.000000000000000,492853,34,772.927596758000050,166.394135412999990,0.215277777778000
97,88.750000000000000,29.750000000000000,40160,2680.682128909999800,21689.000000000000000,492854,34,772.927596759000040,770.243820380999980,0.996527777777000
98,88.750000000000000,29.750000000000000,40160,2680.682128909999800,21689.000000000000000,492855,34,772.927596758000050,402.566456645000020,0.520833333334000
99,88.750000000000000,29.750000000000000,40160,2680.682128909999800,21689.000000000000000,494105,34,771.041306715000020,736.237358843000040,0.954861111112000
100,88.750000000000000,29.750000000000000,40160,2680.682128909999800,21689.000000000000000,494106,34,771.041306716000010,602.376020872000030,0.781250000000000
101,89.250000000000000,29.750000000000000,40161,2680.682128909999800,21690.000000000000000,492855,34,772.927596758000050,367.677363736000020,0.475694444445000
102,89.250000000000000,29.750000000000000,40161,2680.682128909999800,21690.000000000000000,492856,34,772.927596758000050,770.243820380999980,0.996527777779000
103,89.250000000000000,29.750000000000000,40161,2680.682128909999800,21690.000000000000000,492857,34,772.927596759000040,201.283228322000010,0.260416666666000
104,89.250000000000000,29.750000000000000,40161,2680.682128909999800,21690.000000000000000,494106,34,771.041306716000010,168.665285844000010,0.218750000000000
105,89.250000000000000,29.750000000000000,40161,2680.682128909999800,21690.000000000000000,494107,34,771.041306716000010,771.041306716000010,1.000000000000000
106,89.250000000000000,29.750000000000000,40161,2680.682128909999800,21690.000000000000000,494108,34,771.041306716000010,396.229560396000010,0.513888888889000
107,89.750000000000000,29.750000000000000,40162,2680.682128909999800,21690.000000000000000,492857,34,772.927596759000040,568.960592057999970,0.736111111110000
108,89.750000000000000,29.750000000000000,40162,2680.682128909999800,21690.000000000000000,492858,34,772.927596759000040,770.243820380999980,0.996527777777000
109,89.750000000000000,29.750000000000000,40162,2680.682128909999800,21690.000000000000000,494108,34,771.041306716000010,374.811746320000000,0.486111111111000
110,89.750000000000000,29.750000000000000,40162,2680.682128909999800,21690.000000000000000,494109,34,771.041306716000010,771.041306716000010,1.000000000000000
111,89.750000000000000,29.750000000000000,40162,2680.682128909999800,21690.000000000000000,494110,34,771.041306716000010,192.760326679000000,0.250000000000000
112,90.250000000000000,29.750000000000000,40163,2680.682128909999800,21691.000000000000000,492859,34,772.927596758000050,770.243820380999980,0.996527777779000
113,90.250000000000000,29.750000000000000,40163,2680.682128909999800,21691.000000000000000,492860,34,772.927596758000050,568.960592057999970,0.736111111111000
114,90.250000000000000,29.750000000000000,40163,2680.682128909999800,21691.000000000000000,494110,34,771.041306716000010,578.280980036999950,0.750000000000000
115,90.250000000000000,29.750000000000000,40163,2680.682128909999800,21691.000000000000000,494111,34,771.041306715000020,760.332399678000000,0.986111111112000
116,90.750000000000000,29.750000000000000,40164,2680.682128909999800,21691.000000000000000,492860,34,772.927596758000050,201.283228322000010,0.260416666666000
117,90.750000000000000,29.750000000000000,40164,2680.682128909999800,21691.000000000000000,492861,34,772.927596759000040,770.243820380999980,0.996527777777000
118,90.750000000000000,29.750000000000000,40164,2680.682128909999800,21691.000000000000000,492862,34,772.927596759000040,367.677363736000020,0.475694444444000
119,90.750000000000000,29.750000000000000,40164,2680.682128909999800,21691.000000000000000,494111,34,771.041306715000020,10.708907037800000,0.013888888889000
120,90.750000000000000,29.750000000000000,40164,2680.682128909999800,21691.000000000000000,494112,34,771.041306716000010,771.041306716000010,1.000000000000000
121,90.750000000000000,29.750000000000000,40164,2680.682128909999800,21691.000000000000000,494113,34,771.041306715000020,554.185939201999990,0.718750000001000
122,91.250000000000000,29.750000000000000,40165,2680.682128909999800,21692.000000000000000,492862,34,772.927596759000040,402.566456645000020,0.520833333333000
123,91.250000000000000,29.750000000000000,40165,2680.682128909999800,21692.000000000000000,492863,34,772.927596758000050,772.927596758000050,1.000000000000000
124,91.250000000000000,29.750000000000000,40165,2680.682128909999800,21692.000000000000000,494113,34,771.041306715000020,216.855367513999990,0.281250000001000
125,91.250000000000000,29.750000000000000,40165,2680.682128909999800,21692.000000000000000,494114,34,771.041306716000010,771.041306716000010,1.000000000000000
126,91.250000000000000,29.750000000000000,40165,2680.682128909999800,21692.000000000000000,494115,34,771.041306716000010,350.716705484999980,0.454861111111000
127,91.750000000000000,29.750000000000000,40166,2680.682128909999800,21692.000000000000000,494115,34,771.041306716000010,420.324601230999970,0.545138888889000
128,92.750000000000000,29.750000000000000,40168,2680.682128909999800,21693.000000000000000,492869,34,772.927596759000040,335.472047203999980,0.434027777777000
129,92.750000000000000,29.750000000000000,40168,2680.682128909999800,21693.000000000000000,494120,34,771.041306716000010,508.673084292000000,0.659722222222000
130,93.250000000000000,29.750000000000000,40169,2680.682128909999800,21694.000000000000000,492869,34,772.927596759000040,437.455549554000020,0.565972222221000
131,93.250000000000000,29.750000000000000,40169,2680.682128909999800,21694.000000000000000,492870,34,772.927596758000050,772.927596758000050,1.000000000000000
132,93.250000000000000,29.750000000000000,40169,2680.682128909999800,21694.000000000000000,494120,34,771.041306716000010,262.368222424000010,0.340277777778000
133,93.250000000000000,29.750000000000000,40169,2680.682128909999800,21694.000000000000000,494121,34,771.041306715000020,771.041306716000010,1.000000000000000
134,94.250000000000000,29.750000000000000,40171,2680.682128909999800,21695.000000000000000,492874,34,772.927596758000050,501.866182616999990,0.649305555555000
135,94.750000000000000,29.750000000000000,40172,2680.682128909999800,21695.000000000000000,492874,34,772.927596758000050,271.061414141000000,0.350694444445000
136,96.250000000000000,29.750000000000000,40175,2680.682128909999800,21697.000000000000000,492881,34,772.927596758000050,466.977089707999990,0.604166666667000
137,96.750000000000000,29.750000000000000,40176,2680.682128909999800,21697.000000000000000,492881,34,772.927596758000050,305.950507050000000,0.395833333333000
138,84.250000000000000,29.250000000000000,40466,2693.678955079999900,21685.000000000000000,490327,34,771.262591688000040,771.262591688000040,1.000000000000000
