FID,WGHM_BASIN,PAPA_BASIN,EAG_CNUM,WGHM_CNUM,EAG_AREA,INTCT_AREA,AREA_FRC
1248,21,21,463247,43719,769.894934640999960,769.894934641999950,1.000000000000000
1249,21,21,463248,43719,769.894934640999960,117.035310577000000,0.152014652014000
1250,21,21,459283,43999,771.354297155000040,771.354297155000040,1.000000000000000
1251,21,21,459284,43999,771.354297155000040,570.008138706999940,0.738970588236000
1252,21,21,460606,43999,769.942303993000000,424.600535289999980,0.551470588235000
1253,21,21,460607,43999,769.942303993000000,769.942303993000000,1.000000000000000
1254,21,21,460608,43999,769.942303993000000,220.792278350999990,0.286764705882000
1255,21,21,459284,44000,771.354297155000040,201.346158448000010,0.261029411764000
1256,21,21,459285,44000,771.354297155000040,771.354297155000040,1.000000000000000
1257,21,21,459286,44000,771.354297155000040,445.230237696000020,0.577205882353000
1258,21,21,460608,44000,769.942303993000000,549.150025641999950,0.713235294118000
1259,21,21,460609,44000,769.942303993000000,769.942303993000000,1.000000000000000
1260,21,21,460610,44000,769.942303993000000,93.412117763799998,0.121323529412000
1261,21,21,461925,43718,771.341225595999960,43.794098888900002,0.056776556776200
1262,21,21,461926,43718,771.341225595999960,771.341225595999960,1.000000000000000
1263,21,21,461927,43718,771.341225595999960,597.577542905999960,0.774725274724000
1264,21,21,463244,43718,769.894934640999960,387.767595286000020,0.503663003663000
1265,21,21,463245,43718,769.894934640999960,769.894934641999950,1.000000000000000
1266,21,21,463246,43718,769.894934640999960,249.581324966000010,0.324175824176000
1267,21,21,461924,43717,771.341225595999960,685.165740684999950,0.888278388278000
1268,21,21,461925,43717,771.341225595999960,727.547126705999970,0.943223443222000
1269,21,21,463242,43717,769.894934640999960,255.221580897000000,0.331501831501000
1270,21,21,463243,43717,769.894934640999960,769.894934640999960,1.000000000000000
1271,21,21,463244,43717,769.894934640999960,382.127339355000000,0.496336996337000
1272,21,21,460606,43998,769.942303993000000,345.341768703000010,0.448529411765000
1273,21,21,461929,43720,771.341225595999960,303.733266489000020,0.393772893773000
1274,21,21,461930,43720,771.341225595999960,771.341225594999970,0.999999999999000
1275,21,21,461931,43720,771.341225595999960,337.638375306000000,0.437728937728000
1276,21,21,463248,43720,769.894934640999960,652.859624063999950,0.847985347986000
1277,21,21,463249,43720,769.894934640999960,757.204358795999950,0.983516483517000
1278,21,21,461931,43721,771.341225595999960,433.702850289000030,0.562271062271000
1279,21,21,461932,43721,771.341225595999960,771.341225595999960,1.000000000000000
1280,21,21,463249,43721,769.894934640999960,12.690575845800000,0.016483516483600
1281,21,21,463250,43721,769.894934640999960,769.894934640999960,1.000000000000000
1282,21,21,463251,43721,769.894934640999960,624.658344406999960,0.811355311356000
1283,21,21,464569,43441,771.248900624000040,39.406878134099998,0.051094890511000
1284,21,21,464570,43441,771.248900624000040,771.248900624000040,1.000000000000000
1285,21,21,464571,43441,771.248900624000040,596.732726029999980,0.773722627737000
1286,21,21,465883,43441,769.768187964000050,393.312212827999990,0.510948905109000
1287,21,21,465884,43441,769.768187962999950,769.768187964000050,1.000000000000000
1288,21,21,465885,43441,769.768187964000050,238.796700646000010,0.310218978102000
1289,21,21,461936,43724,771.341225595999960,49.444950358800000,0.064102564102700
1290,21,21,461937,43724,771.341225595999960,771.341225594999970,0.999999999999000
1291,21,21,461938,43724,771.341225595999960,591.926691437000040,0.767399267399000
1292,21,21,463255,43724,769.894934640999960,407.508491047000010,0.529304029305000
1293,21,21,463256,43724,769.894934640999960,769.894934640999960,1.000000000000000
1294,21,21,463257,43724,769.894934640999960,229.840429206000010,0.298534798535000
1295,21,21,459292,44004,771.354297155000040,697.621901103000030,0.904411764705000
1296,21,21,459293,44004,771.354297155000040,720.308792196000010,0.933823529411000
1297,21,21,460616,44004,769.942303993000000,769.942303993000000,1.000000000000000
1298,21,21,460617,44004,769.942303993000000,359.495119879000010,0.466911764706000
1299,21,21,464568,43440,771.248900624000040,675.546482298000000,0.875912408759000
1300,21,21,464569,43440,771.248900624000040,731.842022488999990,0.948905109488000
1301,21,21,465881,43440,769.768187964000050,255.652938338000010,0.332116788321000
1302,21,21,465882,43440,769.768187964000050,769.768187964000050,1.000000000000000
1303,21,21,465883,43440,769.768187964000050,376.455975135000020,0.489051094890000
1304,21,21,461935,43722,771.341225595999960,80.524633441199995,0.104395604395000
1305,21,21,463251,43722,769.894934640999960,145.236590234999990,0.188644688645000
1306,21,21,461935,43723,771.341225595999960,690.816592153999980,0.895604395604000
1307,21,21,461936,43723,771.341225595999960,721.896275237000050,0.935897435897000
1308,21,21,463254,43723,769.894934640999960,769.894934641999950,1.000000000000000
1309,21,21,463255,43723,769.894934640999960,362.386443595000000,0.470695970696000
1310,21,21,460611,44002,769.942303993000000,31.137372588000002,0.040441176470700
1311,21,21,459292,44003,771.354297155000040,73.732396051600006,0.095588235294100
1312,21,21,464571,43442,771.248900624000040,174.516174594000010,0.226277372263000
