2912556 64.25 63.25 -99 -99 -99
2912600 66.25 66.25 -99 -99 -99
2912602 68.75 61.25 -99 -99 -99
2912630 65.75 57.75 -99 -99 -99
2912640 68.75 65.75 -99 -99 -99
2912650 61.75 59.25 -99 -99 -99
2912657 61.75 59.75 -99 -99 -99
2912671 65.25 56.25 -99 -99 -99
2912680 64.25 55.75 -99 -99 -99
2913200 64.25 49.75 -99 -99 -99
2913550 74.25 49.75 -99 -99 -99
2914450 78.25 45.25 -99 -99 -99
2916200 67.25 43.75 -99 -99 -99
2916201 62.25 45.75 -99 -99 -99
2916203 69.25 40.25 -99 -99 -99
2916204 65.25 44.75 -99 -99 -99
2916500 69.25 42.25 -99 -99 -99
2916550 69.75 41.75 -99 -99 -99
2916850 72.25 41.25 -99 -99 -99
2916860 73.75 41.25 -99 -99 -99
2916890 76.25 41.25 -99 -99 -99
2917100 59.75 42.25 -99 -99 -99
2917110 65.25 37.75 -99 -99 -99
2917400 67.75 37.75 -99 -99 -99
2917450 68.25 39.25 -99 -99 -99
2917610 68.25 37.75 -99 -99 -99
2917700 71.75 37.75 -99 -99 -99
2917820 72.75 38.25 -99 -99 -99
2917900 69.75 38.75 -99 -99 -99
2917920 70.75 39.25 -99 -99 -99
2917950 68.75 37.25 -99 -99 -99
2919100 55.75 51.75 -99 -99 -99
2919200 51.25 51.25 -99 -99 -99
2919500 57.25 50.25 -99 -99 -99
2964080 100.75 17.75 -99 -99 -99
2964130 100.25 15.25 -99 -99 -99
2964999 99.25 14.75 -99 -99 -99
2969010 100.25 20.75 -99 -99 -99
2969087 102.75 15.25 -99 -99 -99
2969100 104.75 16.75 -99 -99 -99
2969150 104.25 15.75 -99 -99 -99
2969200 104.75 15.25 -99 -99 -99
2998110 136.25 70.75 -99 -99 -99
2998112 133.75 67.75 -99 -99 -99
2998150 131.75 68.75 -99 -99 -99
2998400 147.25 69.75 -99 -99 -99
2998401 141.75 63.75 -99 -99 -99
2998412 141.75 64.75 -99 -99 -99
2998450 154.25 68.75 -99 -99 -99
2998454 150.75 61.75 -99 -99 -99
2998461 132.25 67.25 -99 -99 -99
2998470 135.25 67.75 -99 -99 -99
2998471 135.75 67.25 -99 -99 -99
2998480 133.75 68.75 -99 -99 -99
2998500 153.75 67.25 -99 -99 -99
2998502 151.75 62.25 -99 -99 -99
2998505 147.75 62.25 -99 -99 -99
2998510 158.75 68.75 -99 -99 -99
2998511 146.25 62.75 -99 -99 -99
2998600 144.25 64.25 -99 -99 -99
2998702 164.25 68.25 -99 -99 -99
2998720 161.75 67.75 -99 -99 -99
2998735 162.25 65.75 -99 -99 -99
2998740 156.75 67.25 -99 -99 -99
2998900 -178.75 67.75 -99 -99 -99
2999150 114.25 71.75 -99 -99 -99
2999151 114.25 69.75 -99 -99 -99
2999200 72.75 65.75 -99 -99 -99
2999250 82.25 66.25 -99 -99 -99
